"Json_ID","Size","McCabe","Readability","#Revisions"
"2616.json","4","1","0.45705217123031616","5"
"3618.json","4","1","0.4363481402397156","8"
"2127.json","4","1","0.8160840272903442","4"
"3732.json","4","1","0.8000873327255249","4"
"2176.json","7","2","0.17501206696033478","6"
"57.json","2","1","0.4920022189617157","2"
"2412.json","7","2","0.41400206089019775","21"
"1712.json","4","1","0.2979620099067688","3"
"1147.json","6","1","0.014912243001163006","1"
"3109.json","19","5","0.10511156171560287","29"
"1965.json","13","3","0.02573130838572979","2"
"2999.json","17","4","0.04040800407528877","7"
"3227.json","3","1","0.5247693061828613","2"
"986.json","16","13","0.08533525466918945","5"
"2066.json","10","2","0.08825356513261795","2"
"486.json","15","1","0.19024716317653656","1"
"867.json","3","1","0.297427237033844","1"
"2146.json","8","1","0.6912258267402649","14"
"203.json","20","1","0.0339360348880291","1"
"2721.json","4","1","0.5928078293800354","4"
"3835.json","3","1","0.26586446166038513","1"
"2854.json","5","1","0.6976737976074219","8"
"3324.json","12","2","0.03241123631596565","16"
"2099.json","7","1","0.004390464164316654","6"
"1964.json","3","1","0.2777561843395233","1"
"1804.json","4","1","0.6860044598579407","3"
"3435.json","6","1","0.0","2"
"3798.json","4","1","0.9514790773391724","3"
"1605.json","3","1","0.41723111271858215","1"
"3754.json","31","7","0.06367409974336624","15"
"1595.json","3","1","0.31042516231536865","1"
"455.json","20","1","0.04783852770924568","1"
"3596.json","20","4","0.01377934031188488","24"
"43.json","2","1","0.9739555716514587","1"
"940.json","16","4","0.1459917426109314","14"
"2746.json","4","1","0.43526506423950195","6"
"3839.json","16","14","0.00474891159683466","1"
"3738.json","3","1","0.6786856055259705","1"
"279.json","18","1","0.035410549491643906","5"
"2943.json","3","1","0.8835563659667969","1"
"3366.json","12","2","0.11079965531826019","2"
"1788.json","6","1","0.7571089267730713","6"
"2096.json","28","6","7.207440212368965E-4","9"
"1105.json","12","2","0.005544100888073444","4"
"2401.json","3","1","0.9477936029434204","1"
"3065.json","3","1","0.30404672026634216","1"
"988.json","5","1","0.687613308429718","5"
"2218.json","8","2","0.012847787700593472","3"
"2302.json","16","2","0.0030765999108552933","1"
"850.json","21","11","0.05961409956216812","3"
"3403.json","3","1","0.8817800879478455","3"
"1123.json","6","2","0.3235931098461151","4"
"2557.json","7","1","0.010066762566566467","2"
"3597.json","3","1","0.6666125059127808","1"
"138.json","4","1","0.9176225066184998","1"
"3222.json","3","1","0.06057086959481239","1"
"3090.json","4","1","0.7466023564338684","5"
"2343.json","3","1","0.31042516231536865","2"
"1550.json","8","1","0.08336406946182251","3"
"2205.json","6","1","0.47035080194473267","14"
"3055.json","16","4","0.18015287816524506","3"
"450.json","17","1","0.08713172376155853","1"
"2317.json","13","7","0.17178502678871155","3"
"2153.json","5","1","0.3105565011501312","2"
"2335.json","9","1","0.00981266237795353","4"
"1575.json","15","3","0.014274046756327152","6"
"2353.json","3","1","0.399231493473053","1"
"3593.json","20","4","0.01377934031188488","24"
"883.json","4","1","0.09227018803358078","4"
"1504.json","10","2","0.24717558920383453","2"
"339.json","3","1","0.8819372057914734","1"
"1537.json","5","1","0.4134896695613861","7"
"2211.json","3","1","0.6208577156066895","3"
